3 Doors Down,79775,19588
Avenged Sevenfold,144045,20454
New Order,93089,21772
Elvis Presley,110131,21324
OutKast,75754,21278
Sufjan Stevens,119776,21661
Cat Power,99298,22006
Youth Lagoon,209519,21729
The Chemical Brothers,78051,20848
Belle and Sebastian,116393,21510
Bring Me the Horizon,507018,21372
The Cranberries,84752,21071
Norah Jones,124634,19986
The Police,71178,20893
Bastille,294539,21987
M.I.A.,79707,21358
No Doubt,87229,20645
Icona Pop,70124,22051
The Knife,107229,20935
Miike Snow,62844,20186
Bombay Bicycle Club,86269,20115
The Velvet Underground,95011,20028
LCD Soundsystem,73023,20812
Snoop Dogg,59472,19530
Demi Lovato,172908,20015
Stevie Wonder,73389,19889
Hot Chip,70931,20367
Nightwish,157861,20361
Soundgarden,84960,18443
Panic! At the Disco,108005,19806
The Postal Service,77937,19716
Santigold,63206,19485
Glee Cast,283295,19803
Bob Marley & The Wailers,101436,19031
Ramones,107359,19103
Lily Allen,68015,18648
Bat for Lashes,92874,18772
Lupe Fiasco,65452,17950
Birdy,85984,19544
Tom Waits,149730,19081
Breaking Benjamin,103247,16187
Deep Purple,86853,18370
The Kinks,72495,18013
The Notorious B.I.G.,77514,17355
Megadeth,148256,18668
Robbie Williams,69920,19413
Alex Clare,55691,19478
A Day to Remember,140606,17140
Frank Sinatra,94349,18177
Bright Eyes,92312,18735
Nero,62828,18269
Animal Collective,123143,18734
Owl City,86149,18777
Tool,153583,17221
Jimmy Eat World,68869,18001
Biffy Clyro,183462,18758
The Vaccines,88776,16972
Rhye,210374,19307
Jessie J,57095,16937
Emeli Sandé,93562,17993
B.o.B,49213,16892
My Bloody Valentine,171385,18342
Nas,78589,16378
2Pac,86006,16470
Pantera,105172,16787
Stone Sour,102664,15966
Dr. Dre,57073,16525
Hurts,269355,18537
PSY,36532,18772
Shakira,84828,17712
Audioslave,68990,16413
Nina Simone,72331,17638
Passenger,97465,18778
50 Cent,56329,16164
In Flames,159298,17572
Ozzy Osbourne,80143,16985
Bob Marley,93357,17045
Olly Murs,65438,17298
The Tallest Man on Earth,96065,15957
Hans Zimmer,118592,17621
Grouplove,49070,16059
Scorpions,82860,17386
Toro y Moi,113319,17595
Kings of Convenience,93178,17130
Talking Heads,78897,17165
Damien Rice,63314,17441
The Weeknd,108265,16013
Marvin Gaye,55784,16819
Empire of the Sun,46593,17370
The Verve,49177,17668
Nelly Furtado,62833,16114
Jay-Z & Kanye West,47208,16077
Alanis Morissette,68443,16462
Lynyrd Skynyrd,53857,16034
Zedd,68833,16710
Goo Goo Dolls,51238,15926
Mariah Carey,114586,15346
Purity Ring,92421,16718
Motörhead,115393,15992
Ratatat,85473,16841
Noah and the Whale,55558,16250
Sonic Youth,101934,16402
Eels,97417,16895
The Jimi Hendrix Experience,67655,14793
Kate Nash,126560,16576
Young the Giant,58146,15063
The Flaming Lips,89176,16568
Kaiser Chiefs,57702,15466
LMFAO,38913,16210
Fatboy Slim,46147,16020
José González,55474,16022
Jennifer Lopez,52765,14832
Kiss,74389,15854
Van Halen,61146,15771
Billy Joel,53193,15573
Stereophonics,134313,16174
Disclosure,53764,16885
Jack White,73879,15710
Counting Crows,48167,15184
Elliott Smith,115506,15881
Robyn,58043,16223
Michael Bublé,71838,15241
Alabama Shakes,74549,15422
Phil Collins,50852,15157
Slayer,119540,14914
Yann Tiersen,108031,16186
Judas Priest,102476,15159
Ne-Yo,47584,13674
Azealia Banks,85315,15552
A Perfect Circle,96395,14434
Daughter,95523,15260
Billy Talent,110209,15220
Seether,65734,12529
Kylie Minogue,97765,15007
Explosions in the Sky,88145,15447
Blondie,49149,15343
Angus & Julia Stone,70298,15308
Matt & Kim,59683,14926
Sting,59608,15067
La Roux,42390,15423
Jamiroquai,73008,15505
City and Colour,92320,15006
Miles Davis,88764,14916
Sia,49306,14876
Journey,46217,14323
Aphex Twin,95349,15193
Tenacious D,75736,14131
T.I.,46855,12848
Sublime,64716,13539
Neon Trees,39419,14496
Metronomy,62059,15091
James Brown,41550,14876
SBTRKT,60479,15258
Garbage,69631,14679
Asaf Avidan & the Mojos,41826,15443
Shinedown,69242,12673
Washed Out,55018,14512
The Wanted,53189,14384
The All-American Rejects,48021,13578
Dropkick Murphys,88970,14638
TV on the Radio,51794,14809
Dream Theater,107388,14870
Yeasayer,49829,13758
Iggy Pop,44438,14339
Ray Charles,48004,13541
Wilco,73776,14346
Skillet,65783,12100
Mika,61136,14106
Cake,56802,13704
The Cardigans,44781,14235
Major Lazer,42182,14785
Jake Bugg,107952,14630
John Legend,44908,13864
The Decemberists,63750,13845
Wolfmother,50289,13275
The Drums,50592,13541
ZZ Top,61406,13750
Within Temptation,98143,13759
Peter Bjorn and John,36563,14321
Haim,54706,14604
The Wombats,47081,13658
Christina Perri,42218,13605
Ennio Morricone,59521,14342
Van Morrison,49610,13160
Ludwig van Beethoven,62079,12917
Lenny Kravitz,39472,13735
Bryan Adams,42253,13497
Rick Ross,39659,10732
Simple Plan,64921,13374
Prince,59033,13439
Lifehouse,56251,12656
Destiny's Child,44299,12702
The Hives,56082,13306
Burial,80913,13554
Leonard Cohen,71635,13326
Paul Simon,50934,13232
Aretha Franklin,44100,12932
Otis Redding,49940,13119
Labrinth,31454,13965
Good Charlotte,52580,12796
Bad Religion,126146,13183
Neutral Milk Hotel,87769,13212
Boards of Canada,124304,13322
James Blunt,47264,12996
PJ Harvey,80013,13332
Brand New,100060,12928
Apocalyptica,66777,13233
The Kills,66738,12907
Rita Ora,47907,11035
Johann Sebastian Bach,94136,12408
Wolfgang Amadeus Mozart,79884,12601
The Roots,58031,13076
How to Destroy Angels,164822,13805
Parov Stelar,104377,12941
Santana,39249,13138
Ludovico Einaudi,122380,12964
Tyga,37582,9287
